"","MeanTemp","MinTemp","MaxTemp","MeanRH","MinRH","MaxRH","MeanWind","Rain","SolarRad"
"2010-09-09",26.3,23.9444,31.2222,90.8,74,97,0.083,20,14045
"2010-09-10",26.6,23.7778,31.6111,91.7,76,97,0.097,30,32577
"2010-09-11",26.4,23.0556,31.7778,91,74,97,0.028,32,34424
"2010-09-12",25.2,22.8889,31.5556,93.4,76,97,0.181,73,22530
"2010-09-13",26.1,22.7778,31.7778,91.9,75,98,0,0,31590
"2010-09-14",26.3,22.6667,32.2778,89.9,70,98,0.09,5,32563
"2010-09-15",26,22.4444,31.9444,91.9,74,98,0.007,4,32300
"2010-09-16",26.1,23.2778,31.8333,92.2,71,98,0,40,28785
"2010-09-17",25.6,22.5,31.9444,92.8,73,98,0.007,16,29213
"2010-09-18",24.8,22.6667,29.3889,96.3,84,98,0,31,10587
"2010-09-19",26.2,22.6667,32,91.7,72,98,0,0,23278
"2010-09-20",26.5,23.8333,32,92.9,74,98,0.007,3,29252
"2010-09-21",25.7,22.7778,31.9444,92.5,71,98,0,3,22292
"2010-09-22",25.8,23.3889,31.4444,92.4,76,98,0,8,22057
"2010-09-23",26.2,23.0556,31.6111,92.8,77,98,0,5,28738
"2010-09-24",27.1,23.7222,32.9444,90.5,69,98,0,1,37442
"2010-09-25",26,23.2778,31.2222,94.1,80,98,0.007,33,21098
"2010-09-26",26.9,24.2222,30.8889,91.8,79,98,0.014,4,30609
"2010-09-27",26.7,24.2222,31.1111,92.3,79,98,0.062,13,26788
"2010-09-28",25.8,23.7222,28.9444,95.1,86,98,0.014,19,15103
"2010-09-29",26.1,23.5,30.7778,92.8,80,98,0.076,16,26543
"2010-09-30",24.7,22.9444,28,96.2,87,98,0,10,14521
"2010-10-01",26.6,22.6111,31.8889,91.1,74,99,0,0,32986
"2010-10-02",27.1,24.0556,32.5,91,72,99,0,0,31411
"2010-10-03",27.1,23.5556,33.0556,90,70,98,0,1,34551
"2010-10-04",27.4,24.0556,32.5556,89.9,73,98,0.243,0,35031
"2010-10-05",27,23.5556,31.7778,90.2,74,98,0.056,13,32273
"2010-10-06",26.5,23.3333,31.3333,92.2,78,98,0.111,27,25657
"2010-10-07",26.8,23.6111,31.4444,91.9,80,98,0.228,2,20639
