		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
08/21/10	4:40 p	75.1	75.1	75.0	60	60.3	0.0	---	0.00	0.0	---	75.1	76.0	76.0	---	29.819	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.070	75.7	59	60.4	76.4	10.72	 .0726	0.000	228	2	100.0	10
08/21/10	4:50 p	75.0	75.1	75.0	60	60.2	0.0	---	0.00	0.0	---	75.0	75.9	75.9	---	29.822	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.7	59	60.4	76.4	10.72	 .0726	0.000	228	2	100.0	10
08/21/10	5:00 p	75.0	75.1	75.0	60	60.2	0.0	---	0.00	0.0	---	75.0	75.9	75.9	---	29.823	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.7	59	60.4	76.4	10.72	 .0726	0.002	229	2	100.0	10
08/21/10	5:10 p	75.0	75.0	75.0	60	60.2	0.0	---	0.00	0.0	---	75.0	75.9	75.9	---	29.825	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.7	59	60.4	76.4	10.72	 .0726	0.000	229	2	100.0	10
08/21/10	5:20 p	75.0	75.0	75.0	60	60.2	0.0	---	0.00	0.0	---	75.0	75.9	75.9	---	29.827	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.6	59	60.3	76.3	10.73	 .0726	0.000	228	2	100.0	10
08/21/10	5:30 p	75.0	75.0	75.0	60	60.2	0.0	---	0.00	0.0	---	75.0	75.9	75.9	---	29.829	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.6	59	60.3	76.3	10.73	 .0726	0.000	228	2	100.0	10
08/21/10	5:40 p	75.0	75.0	74.9	59	59.7	0.0	---	0.00	0.0	---	75.0	75.8	75.8	---	29.830	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.6	59	60.3	76.3	10.73	 .0726	0.000	228	2	100.0	10
08/21/10	5:50 p	74.9	74.9	74.9	59	59.6	0.0	---	0.00	0.0	---	74.9	75.7	75.7	---	29.835	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.6	59	60.3	76.3	10.73	 .0726	0.000	229	2	100.0	10
08/21/10	6:00 p	74.9	74.9	74.9	59	59.6	0.0	---	0.00	0.0	---	74.9	75.7	75.7	---	29.838	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.069	75.6	59	60.3	76.3	10.73	 .0726	0.002	228	2	100.0	10
