t,pig,skin,maggots,soil
2010-09-09 12:38,1,33.3,,
2010-09-09 12:38,2,,,
2010-09-09 12:38,3,,,
2010-09-09 17:30,1,28.6,,26.9
2010-09-09 17:30,2,,26.7,
2010-09-09 17:30,3,,26.7,
2010-09-10 13:03,1,52.5,35.8,37.2
2010-09-10 13:03,2,37.2,37.8,
2010-09-10 13:03,3,33.4,30.8,
2010-09-10 17:32,1,30.2,28.6,28.4
2010-09-10 17:32,2,28.6,27.2,
2010-09-10 17:32,3,31.8,27.8,
2010-09-11 13:18,1,46.2,37.2,34.4
2010-09-11 13:18,2,40.2,37,
2010-09-11 13:18,3,36.8,36.4,
2010-09-11 17:40,1,29.2,34.8,28.6
2010-09-11 17:40,2,42.6,28.4,
2010-09-11 17:40,3,42.8,28.6,
2010-09-12 13:04,1,52.6,38.6,40.4
2010-09-12 13:04,2,40.4,34.8,
2010-09-12 13:04,3,39.4,36.4,
2010-09-12 13:36,1,26.4,32.8,26.6
2010-09-12 13:36,2,31.6,26.8,
2010-09-12 13:36,3,32.2,25.6,
2010-09-13 13:22,1,48.2,45.4,36.6
2010-09-13 13:22,2,39.4,34.8,
2010-09-13 13:22,3,41.6,39,
2010-09-13 18:10,1,34.6,36.4,28.8
2010-09-13 18:10,2,32.2,28.2,
2010-09-13 18:10,3,35.4,27.2,
2010-09-14 13:01,1,40.6,44.8,37.2
2010-09-14 13:01,2,41.6,35.6,
2010-09-14 13:01,3,45.4,42.4,
2010-09-14 17:37,1,29.2,33.4,30.8
2010-09-14 17:37,2,32.6,30.6,
2010-09-14 17:37,3,33,29.2,
2010-09-15 13:00,1,51.6,47.8,40.2
2010-09-15 13:00,2,45.8,41.8,
2010-09-15 13:00,3,39.8,45,
2010-09-15 13:05,1,43.8,36.7,35.8
2010-09-15 13:05,2,38.8,34.8,
2010-09-15 13:05,3,43.2,38.4,
2010-09-15 18:34,1,32,34.6,29.6
2010-09-15 18:34,2,29.6,28.8,
2010-09-15 18:34,3,32.2,28.6,
2010-09-16 17:34,1,30.2,29.8,30.4
2010-09-16 17:34,2,28.4,28.6,
2010-09-16 17:34,3,30.4,29,
2010-09-17 13:22,1,40.6,36.4,35.4
2010-09-17 13:22,2,40.2,36.6,
2010-09-17 13:22,3,31,41.8,
2010-09-17 17:37,1,28,27.6,28.6
2010-09-17 17:37,2,26.8,28.4,
2010-09-17 17:37,3,,28.2,
2010-09-18 13:07,1,28.8,29,29.4
2010-09-18 13:07,2,,28.8,
2010-09-18 13:07,3,28.4,29.2,
2010-09-18 17:38,1,26.8,26.6,26.6
2010-09-18 17:38,2,26.8,26.4,
2010-09-18 17:38,3,,26.6,
2010-09-19 13:10,1,38.4,40.2,35.4
2010-09-19 13:10,2,,34.2,
2010-09-19 13:10,3,,34.4,
2010-09-19 18:00,1,28.8,32.2,32.2
2010-09-19 18:00,2,,31.2,
2010-09-19 18:00,3,,30.4,
2010-09-20 13:14,1,48.4,50.2,42.8
2010-09-20 13:14,2,,51.2,
2010-09-20 13:14,3,,32.2,
2010-09-20 18:15,1,27.6,29,29.6
2010-09-20 18:15,2,,28.6,
2010-09-20 18:15,3,,28.8,
2010-09-21 12:42,1,44.2,46.4,35.2
2010-09-21 12:42,2,,33.8,
2010-09-21 12:42,3,,36,
2010-09-21 17:39,1,28,28.4,29
2010-09-21 17:39,2,,29.6,
2010-09-21 17:39,3,,28.6,
2010-09-22 13:26,1,44.6,,34.2
2010-09-22 13:26,2,,34,
2010-09-22 13:26,3,,34.6,
2010-09-22 18:07,1,27.8,29.4,29.2
2010-09-22 18:07,2,,28.8,
2010-09-22 18:07,3,,29.6,
2010-09-23 13:34,1,48.2,33.4,36.8
2010-09-23 13:34,2,,35.2,
2010-09-23 13:34,3,,37.8,
2010-09-24 13:20,1,44.8,37.6,38
2010-09-24 13:20,2,,43.2,
2010-09-24 13:20,3,,46,
2010-09-25 13:12,1,40.2,,35.6
2010-09-25 13:12,2,,33.4,
2010-09-25 13:12,3,,35.8,
2010-09-26 12:23,1,48.6,,38
2010-09-26 12:23,2,,36.6,
2010-09-26 12:23,3,,37.4,
2010-09-27 13:30,1,48.8,,36.8
2010-09-27 13:30,2,,36.6,
2010-09-27 13:30,3,,36.4,
2010-09-28 13:34,1,29.8,,30.4
2010-09-28 13:34,2,,29.6,
2010-09-28 13:34,3,,29.2,
2010-09-29 13:47,1,32.8,,32.6
2010-09-29 13:47,2,,32.2,
2010-09-29 13:47,3,,31.4,
2010-09-30 13:38,1,28.6,,30.6
2010-09-30 13:38,2,,31.8,
2010-09-30 13:38,3,,30.2,
2010-10-01 12:40,1,50.6,,39.2
2010-10-01 12:40,2,,32.6,
2010-10-01 12:40,3,,39,
2010-10-02 11:50,1,56.2,,39.6
2010-10-02 11:50,2,,32.2,
2010-10-02 11:50,3,,40,
2010-10-03 14:03,1,60.4,,37.8
2010-10-03 14:03,2,,35.4,
2010-10-03 14:03,3,,37.2,
2010-10-04 12:50,1,61,,40
2010-10-04 12:50,2,,36.2,
2010-10-04 12:50,3,,40.8,
2010-10-05 13:35,1,61.6,,40
2010-10-05 13:35,2,,34.4,
2010-10-05 13:35,3,,,
2010-10-06 12:46,1,54.6,,39.2
2010-10-06 12:46,2,,38,
2010-10-06 12:46,3,,36.6,
2010-10-07 13:12,1,47.8,,35.4
2010-10-07 13:12,2,,31.8
2010-10-07 13:12,3,,32.2
