"","t","TempOut","OutHum","WindSpeed","Rain","SolarRad","PMI"
"2709",2010-09-09 12:00:00,30.5556,75,0,0,706,0
"2710",2010-09-09 12:10:00,30.4444,79,0,0,559,0.0069
"2711",2010-09-09 12:20:00,31.0556,81,0,0,820,0.0139
"2712",2010-09-09 12:30:00,31.1667,77,0,0,789,0.0208
"2713",2010-09-09 12:40:00,29.7222,80,0,0,482,0.0278
"2714",2010-09-09 12:50:00,30.2222,77,0,0,714,0.0347
"2715",2010-09-09 13:00:00,29.5,77,1,0,545,0.0417
"2716",2010-09-09 13:10:00,29.5,79,1,0,693,0.0486
"2717",2010-09-09 13:20:00,30.6111,76,1,0,1110,0.0556
"2718",2010-09-09 13:30:00,29.3889,74,1,0,814,0.0625
"2719",2010-09-09 13:40:00,30.4444,74,1,0,1097,0.0694
"2720",2010-09-09 13:50:00,28.9444,77,0,0,278,0.0764
"2721",2010-09-09 14:00:00,28.5,81,0,0,307,0.0833
"2722",2010-09-09 14:10:00,31.2222,77,0,0,1071,0.0903
"2723",2010-09-09 14:20:00,27.2778,87,1,6,176,0.0972
"2724",2010-09-09 14:30:00,25.1111,91,0,7,116,0.1042
"2725",2010-09-09 14:40:00,25,95,0,0,129,0.1111
"2726",2010-09-09 14:50:00,25.6111,95,0,0,156,0.1181
"2727",2010-09-09 15:00:00,26.1111,94,0,0,163,0.125
"2728",2010-09-09 15:10:00,26.6111,93,0,0,171,0.1319
"2729",2010-09-09 15:20:00,27.0556,93,0,0,179,0.1389
"2730",2010-09-09 15:30:00,27.6111,92,0,0,244,0.1458
"2731",2010-09-09 15:40:00,28.1667,89,0,0,312,0.1528
"2732",2010-09-09 15:50:00,27.5556,88,0,0,375,0.1597
"2733",2010-09-09 16:00:00,27.3333,90,0,0,208,0.1667
"2734",2010-09-09 16:10:00,26.5556,89,0,0,103,0.1736
"2735",2010-09-09 16:20:00,26.0556,91,0,0,93,0.1806
"2736",2010-09-09 16:30:00,26.2778,92,0,0,127,0.1875
"2737",2010-09-09 16:40:00,26.3333,88,0,0,176,0.1944
